Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auth/PublicCertificate,0.0,4.0,53.991741999197984,49.64726531526797,53.991741999197984,53.991741999197984,207.0,0.0369195337930746,0.0369195337930746,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
GET,/players/v1/accounts/dummy:dummy.AnonymousUser/location,5.0,2.0,3.0,3.976831893989125,2.880410000216216,5.604444000709918,207.0,0.1476781351722987,0.1476781351722987,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GET,/players/v1/name/,0.0,1.0,84.31758699953207,83.30834753636883,84.31758699953207,84.31758699953207,207.0,0.0369195337930746,0.0369195337930746,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
POST,/players/v1/accounts/,4.0,0.0,11.076946000684984,10.239613588095391,11.076946000684984,11.076946000684984,207.0,0.0369195337930746,0.0369195337930746,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
websocket,ws_go_East,0.0,0.0,0.0,0.0,0.0,0.0,786.0,0.0369195337930746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
websocket,ws_go_North,1.0,2.0,0.0,0.0,0.0,0.0,100.5,0.0738390675861493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
websocket,ws_go_West,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0369195337930746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
websocket,ws_player_ready,2.0,0.0,327.0,311.2242107966411,327.0,327.0,92.0,0.0369195337930746,0.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
,Aggregated,11.0,4.0,3.0,42.309305195899825,0.0,327.0,223.66666666666663,0.4430344055168961,0.2584367365515227,4.0,6.0,54.0,54.0,84.0,330.0,330.0,330.0,330.0,330.0,330.0
,,3.0,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,,,,,
